ZONEID,TIMESTAMP,LOAD,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25
1,112001 1:00,,27,28,18,23,25,27,26,26,13,28,23,23,26,34,26,25,23,25,27,27,29,30,25,26,27
1,112001 2:00,,25,28,18,23,24,24,26,24,13,27,18,21,25,33,25,25,23,25,27,23,28,30,24,22,27
1,112001 3:00,,27,23,18,24,23,24,23,23,13,27,21,23,25,32,25,26,24,21,27,25,29,28,24,23,25
1,112001 4:00,,25,21,19,24,23,24,22,23,13,27,22,25,24,32,25,25,24,21,27,23,27,28,23,26,25
1,112001 5:00,,27,21,19,22,23,24,22,22,14,28,23,27,24,31,27,27,22,21,27,25,27,28,23,25,27
1,112001 6:00,,28,25,18,22,23,25,24,22,16,28,22,25,24,31,27,27,22,25,27,25,26,27,22,25,27
1,112001 7:00,,21,25,20,22,21,26,25,21,16,27,25,23,23,31,25,25,22,25,27,25,27,27,22,25,25
1,112001 8:00,,20,23,19,21,20,27,26,21,16,20,25,21,23,31,25,27,21,25,28,28,27,27,22,22,25
1,112001 9:00,,30,28,21,26,20,29,29,21,18,30,27,28,23,32,28,29,26,27,28,30,28,30,21,28,28
1,112001 10:00,,34,32,22,30,27,30,32,26,19,36,30,30,26,32,32,34,30,32,32,34,31,32,26,31,32
1,112001 11:00,,36,34,25,33,32,33,36,30,15,37,33,32,29,33,36,37,33,36,34,37,32,37,30,35,36
1,112001 12:00,,37,36,28,34,36,34,37,34,23,39,35,34,32,34,36,38,34,37,34,37,33,37,33,36,36
1,112001 13:00,,39,37,30,36,39,37,39,37,28,41,36,34,34,35,38,40,36,37,34,41,34,39,35,37,37
1,112001 14:00,,38,37,29,37,42,38,40,39,28,41,37,36,36,35,39,41,37,39,34,41,35,39,37,41,37
1,112001 15:00,,39,37,29,37,43,37,41,40,28,41,36,36,37,35,39,41,37,39,34,41,36,39,38,40,37
1,112001 16:00,,39,37,28,37,43,37,39,41,23,41,35,36,37,35,39,41,37,39,34,41,35,39,39,41,38
