,0
1,0.8869236537957353
2,0.8799687692498858
3,0.8803141136380301
4,0.8112151279985766
5,0.7674656814205533
6,0.7205672405802459
7,0.6517226383598623
8,0.5838383111902176
9,0.5172058932966698
10,0.44618568671818776
11,0.3699189072458199
12,0.29996942917840236
13,0.22742481898655742
14,0.153559800783119
15,0.09019503353760003
16,0.018919539173956532
17,-0.038370829117088716
18,-0.09830694042877168
19,-0.15230238422825265
20,-0.19821408976500762
21,-0.24591557779537124
22,-0.2794492375296491
23,-0.314695875096742
24,-0.3476650003896766
25,-0.36369014444755376
26,-0.3885367062073926
27,-0.4063841536657445
28,-0.4136256099398096
29,-0.42811096213248084
30,-0.4361970865051203
31,-0.439348336906114
32,-0.4454860295434123
33,-0.4489409655976505
34,-0.4498930674718041
35,-0.45124379484560656
36,-0.4522081646795834
37,-0.45109714224438213
38,-0.4499236192697113
39,-0.44903505131386673
40,-0.44430000706659784
41,-0.4399454141635817
42,-0.43734270736656344
43,-0.42492005619562795
44,-0.4160250259033473
45,-0.4083789287862301
46,-0.3845665963277763
47,-0.36753168699106237
48,-0.3490489292720892
