hour,mean,median,count,std
0,0.0,0.0,2460,0.0
1,0.0,0.0,2460,0.0
2,0.0,0.0,2460,0.0
3,0.0,0.0,2460,0.0
4,0.0,0.0,2460,0.0
5,0.00014554199390243774,0.0,2460,0.0005343858156009052
6,0.009252820903252029,0.0,2460,0.019632642637227034
7,0.05452442247723577,0.011725708499999949,2460,0.08739131101748683
8,0.17847720339430895,0.1094365385,2460,0.17721217640387127
9,0.34825830687479675,0.3079616395,2460,0.2218042845414297
10,0.5006485411711382,0.527165992,2460,0.23127060104810226
11,0.591406447053252,0.662275641,2460,0.2341316152347767
12,0.6269427387703251,0.709933654,2460,0.2335833989900021
13,0.6128407618418699,0.687665705,2460,0.23134496995030174
14,0.5528268317365854,0.5978,2460,0.22090723937182952
15,0.4419890116048781,0.4446373145,2460,0.20684200153947527
16,0.29711903110975607,0.249309936,2460,0.1836723948135951
17,0.14183038778008128,0.0885323885,2460,0.14387427913087122
18,0.04531123033577235,0.015269079000000001,2460,0.07503005535005648
19,0.008811692154878046,0.0,2460,0.01942101145674146
20,0.00023127568861788474,0.0,2460,0.000755049774845701
21,0.0,0.0,2460,0.0
22,0.0,0.0,2460,0.0
23,0.0,0.0,2460,0.0
